物件名,住所,アクセス,築年数,階数,家賃,管理費,間取り,広さ
カーサ蒲田,東京都大田区西蒲田７,ＪＲ京浜東北線/蒲田駅 歩3分 京急本線/京急蒲田駅 歩10分 東急池上線/蓮沼駅 歩9分,築49年,4階,6.9万円,5000円,1DK,23.61m2
プルメリア清水,東京都墨田区墨田４,京成押上線/八広駅 歩6分 東武伊勢崎線/鐘ヶ淵駅 歩7分 東武伊勢崎線/東向島駅 歩9分,築22年,1階,12.5万円,9000円,2LDK,56.02m2
シナリオ会館,東京都中央区日本橋人形町２,都営浅草線/人形町駅 歩5分 東京メトロ半蔵門線/水天宮前駅 歩5分 都営新宿線/浜町駅 歩6分,築21年,5階,35.5万円,15000円,3LDK,94.11m2
アーバネックス日本橋水天宮,東京都中央区日本橋蛎殻町１,東京メトロ半蔵門線/水天宮前駅 歩3分 東京メトロ日比谷線/人形町駅 歩5分 東京メトロ東西線/茅場町駅 歩6分,築4年,2階,21万円,15000円,2LDK,40.6m2
須賀町マンション,東京都新宿区須賀町,ＪＲ中央線/四ツ谷駅 歩8分 東京メトロ丸ノ内線/四谷三丁目駅 歩7分 ＪＲ中央線/信濃町駅 歩10分,築52年,4階,8.5万円,5000円,ワンルーム,29.1m2
ＲＥＬＵＸＩＡ墨田東向島,東京都墨田区東向島５,東武伊勢崎線/東向島駅 歩7分 東武伊勢崎線/鐘ヶ淵駅 歩7分 京成押上線/八広駅 歩8分,築2年,4階,13.2万円,20000円,1LDK,40.65m2
ブリリア一番町,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩3分 東京メトロ南北線/市ケ谷駅 歩8分 東京メトロ有楽町線/麹町駅 歩8分,築5年,6階,50万円,57000円,3LDK,94.24m2
Yushima　KWD　７,東京都文京区湯島２,都営大江戸線/本郷三丁目駅 歩5分 東京メトロ千代田線/湯島駅 歩8分 東京メトロ丸ノ内線/本郷三丁目駅 歩5分,新築,1階,15.6万円,5000円,1LDK,35.97m2
ＪＲ総武線 両国駅 8階建 築10年,東京都墨田区両国３,ＪＲ総武線/両国駅 歩7分 都営大江戸線/両国駅 歩8分 都営新宿線/森下駅 歩10分,築10年,4階,14.2万円,13000円,1LDK,42.22m2
プラウドフラット墨田曳舟ディアージュ,東京都墨田区東向島２,京成押上線/京成曳舟駅 歩3分 東武亀戸線/曳舟駅 歩4分 東武伊勢崎線/東向島駅 歩9分,新築,1階,20.9万円,15000円,2LDK,47.52m2
パークアクシス両国,東京都墨田区緑１,都営大江戸線/両国駅 歩6分 都営新宿線/森下駅 歩8分 ＪＲ総武線/両国駅 歩10分,築12年,7階,16.8万円,12000円,1LDK,43.02m2
グランカーサ本駒込,東京都文京区本駒込３,ＪＲ山手線/駒込駅 歩11分 東京メトロ南北線/本駒込駅 歩7分 都営三田線/千石駅 歩10分,築5年,4階,25.4万円,15000円,2LDK,56.36m2
ブリリアイスト両国,東京都墨田区両国１,ＪＲ総武線/両国駅 歩6分 都営浅草線/東日本橋駅 歩10分 都営大江戸線/森下駅 歩10分,築4年,7階,17.3万円,15000円,2DK,41.26m2
ミテッツァ千代田三崎町,東京都千代田区神田三崎町３,ＪＲ中央線/水道橋駅 歩5分 東京メトロ東西線/九段下駅 歩6分 東京メトロ半蔵門線/神保町駅 歩8分,築13年,7階,15.5万円,10000円,1DK,37.95m2
ザ・パークハビオ人形町レジデンス,東京都中央区日本橋久松町,東京メトロ日比谷線/人形町駅 歩5分 都営新宿線/浜町駅 歩6分 東京メトロ半蔵門線/水天宮前駅 歩10分,新築,4階,18万円,15000円,1LDK,31.61m2
フュージョナル日本橋浜町,東京都中央区日本橋浜町３,東京メトロ半蔵門線/水天宮前駅 歩4分 都営新宿線/浜町駅 歩8分 東京メトロ日比谷線/人形町駅 歩9分,築11年,10階,16.5万円,10000円,2DK,42.03m2
パークアクシス日本橋浜町レジデンス,東京都中央区日本橋浜町１,都営新宿線/浜町駅 歩2分 都営浅草線/東日本橋駅 歩5分 東京メトロ日比谷線/人形町駅 歩7分,築6年,7階,21.1万円,12000円,1LDK,40.87m2
都営新宿線 浜町駅 12階建 築6年,東京都中央区日本橋浜町１,都営新宿線/浜町駅 歩2分 ＪＲ総武線快速/馬喰町駅 歩7分 東京メトロ日比谷線/人形町駅 歩9分,築6年,6階,23.5万円,12000円,2LDK,45.43m2
グランジット千代田秋葉原,東京都千代田区神田佐久間町４,東京メトロ日比谷線/秋葉原駅 歩5分 ＪＲ総武線/浅草橋駅 歩6分 都営新宿線/岩本町駅 歩7分,築2年,2階,15万円,9000円,1LDK,35.44m2
コクヨーレ日本橋,東京都中央区日本橋堀留町２,都営浅草線/人形町駅 歩5分 東京メトロ日比谷線/小伝馬町駅 歩3分 都営新宿線/馬喰横山駅 歩6分,築19年,7階,14.9万円,15000円,1LDK,35.26m2
Ｌｅ　Ｃｏｃｏｎ　人形町,東京都中央区日本橋富沢町,東京メトロ日比谷線/人形町駅 歩4分 都営新宿線/浜町駅 歩7分 ＪＲ総武線快速/馬喰町駅 歩10分,築7年,9階,16.1万円,10000円,1LDK,41.82m2
東京メトロ日比谷線 人形町駅 10階建 築7年,東京都中央区日本橋富沢町,東京メトロ日比谷線/人形町駅 歩4分 都営新宿線/浜町駅 歩7分 ＪＲ総武線快速/馬喰町駅 歩10分,築7年,9階,16.1万円,10000円,1LDK,41.82m2
ブランシエスタ白山,東京都文京区白山１,都営三田線/白山駅 歩6分 都営大江戸線/春日駅 歩8分 東京メトロ南北線/東大前駅 歩10分,築5年,8階,15.9万円,10000円,1LDK,34.74m2
グレースレジデンス東京,東京都中央区新川２,ＪＲ京葉線/八丁堀駅 歩3分 東京メトロ東西線/茅場町駅 歩9分 東京メトロ日比谷線/八丁堀駅 歩7分,築17年,7階,18.2万円,10000円,1LDK,43.82m2
ルネ神田和泉町,東京都千代田区神田和泉町,ＪＲ山手線/秋葉原駅 歩6分 都営新宿線/岩本町駅 歩9分 東京メトロ銀座線/末広町駅 歩10分,築11年,3階,16.8万円,12000円,1LDK,44.48m2
エスティメゾン錦糸町2,東京都墨田区江東橋３,ＪＲ総武線/錦糸町駅 歩5分 東京メトロ半蔵門線/住吉駅 歩7分 都営新宿線/菊川駅 歩16分,築16年,7階,14.5万円,12000円,1LDK,40.05m2
カーサ内神田,東京都千代田区内神田１,ＪＲ山手線/神田駅 歩6分 東京メトロ丸ノ内線/淡路町駅 歩7分 東京メトロ千代田線/新御茶ノ水駅 歩6分,築9年,9階,16.8万円,10000円,1LDK,40.69m2
ズーム日本橋蛎殻町,東京都中央区日本橋蛎殻町１,東京メトロ半蔵門線/水天宮前駅 歩5分 東京メトロ日比谷線/茅場町駅 歩5分 東京メトロ銀座線/日本橋駅 歩10分,築4年,2階,20.2万円,20000円,1LDK,45.69m2
エンブレムコート明石町,東京都中央区明石町,東京メトロ有楽町線/新富町駅 歩7分 東京メトロ日比谷線/築地駅 歩8分 東京メトロ有楽町線/月島駅 歩8分,築22年,15階,20.5万円,15000円,1SK,55.46m2
コンフォリア秋葉原EAST,東京都千代田区東神田２,東京メトロ日比谷線/秋葉原駅 歩8分 ＪＲ総武線快速/馬喰町駅 歩6分 ＪＲ総武線/浅草橋駅 歩6分,築8年,2階,14.7万円,8000円,1DK,32.83m2
パークウッドレジデンス日本橋,東京都中央区日本橋堀留町２,東京メトロ日比谷線/小伝馬町駅 歩4分 都営浅草線/人形町駅 歩5分 都営新宿線/馬喰横山駅 歩4分,築12年,2階,18万円,8000円,1LDK,46.75m2
パークルール神田司町ロンド,東京都千代田区神田司町２,東京メトロ丸ノ内線/淡路町駅 歩4分 ＪＲ山手線/神田駅 歩6分 都営新宿線/小川町駅 歩4分,築6年,9階,17.2万円,10000円,1LDK,33.77m2
パークアクシス日本橋浜町,東京都中央区日本橋浜町１,都営新宿線/浜町駅 歩3分 都営浅草線/東日本橋駅 歩5分 東京メトロ日比谷線/人形町駅 歩8分,築18年,3階,20.6万円,10000円,1SLDK,50.07m2
クンラボーロ,東京都墨田区菊川２,都営新宿線/菊川駅 歩4分 都営新宿線/森下駅 歩9分 東京メトロ半蔵門線/清澄白河駅 歩10分,築9年,7階,16万円,13000円,1LDK,48.94m2
コスモグラシア人形町,東京都中央区日本橋富沢町,東京メトロ日比谷線/人形町駅 歩3分 都営新宿線/馬喰横山駅 歩6分 都営浅草線/東日本橋駅 歩7分,築15年,2階,16.5万円,10000円,1LDK,40.71m2
S-RESIDENCE錦糸町Norte,東京都墨田区横川５,東京メトロ半蔵門線/押上駅 歩8分 ＪＲ総武線/錦糸町駅 歩10分 都営浅草線/押上駅 歩8分,築2年,3階,16.45万円,10000円,1LDK,40.19m2
アーバネックス日本橋馬喰町,東京都中央区日本橋馬喰町２,ＪＲ総武線快速/馬喰町駅 歩2分 ＪＲ総武線/浅草橋駅 歩4分 東京メトロ日比谷線/秋葉原駅 歩10分,築2年,6階,12.5万円,15000円,1DK,25.81m2
プレジリア東日本橋,東京都中央区日本橋馬喰町２,ＪＲ総武線快速/馬喰町駅 歩2分 都営新宿線/馬喰横山駅 歩2分 都営浅草線/東日本橋駅 歩7分,築11年,8階,15.5万円,10000円,1LDK,40.01m2
東武伊勢崎線 東向島駅 7階建 新築,東京都墨田区東向島４,東武伊勢崎線/東向島駅 歩5分 京成押上線/京成曳舟駅 歩9分 東京メトロ半蔵門線/押上駅 歩20分,新築,1階,9.5万円,13000円,1DK,26.87m2
アイルプレミアム押上ノルド,東京都墨田区東向島４,東武伊勢崎線/東向島駅 歩4分 京成押上線/京成曳舟駅 歩7分 東武伊勢崎線/曳舟駅 歩8分,新築,3階,9.7万円,13000円,1DK,26.87m2
エピック東日本橋レジデンス,東京都中央区東日本橋２,都営浅草線/東日本橋駅 歩2分 ＪＲ総武線快速/馬喰町駅 歩4分 都営新宿線/馬喰横山駅 歩4分,築15年,3階,14.6万円,13000円,1LDK,40.75m2
プレールドゥーク東向島,東京都墨田区東向島４,東武伊勢崎線/東向島駅 歩3分 京成押上線/京成曳舟駅 歩8分 東武亀戸線/曳舟駅 歩10分,築3年,5階,14.1万円,10500円,1LDK,40.83m2
グランプラス千駄木,東京都文京区千駄木３,ＪＲ山手線/西日暮里駅 歩8分 ＪＲ山手線/日暮里駅 歩10分 東京メトロ千代田線/千駄木駅 歩5分,築11年,8階,15万円,8000円,1LDK,42.32m2
グランスイート銀座レスティモナーク,東京都中央区銀座８,東京メトロ日比谷線/東銀座駅 歩6分 ＪＲ山手線/新橋駅 歩8分 東京メトロ銀座線/銀座駅 歩9分,築19年,13階,22.8万円,10000円,1LDK,50.51m2
クロスフォー築地,東京都中央区築地４,東京メトロ日比谷線/築地駅 歩3分 都営大江戸線/築地市場駅 歩4分 都営浅草線/東銀座駅 歩5分,築17年,6階,16.1万円,7000円,1LDK,40.29m2
コートラクリア人形町,東京都中央区日本橋人形町１,東京メトロ日比谷線/人形町駅 歩2分 都営浅草線/人形町駅 歩2分 東京メトロ半蔵門線/水天宮前駅 歩3分,築8年,2階,14万円,15000円,1DK,32.78m2
ルマ・ワーワ,東京都文京区本郷２,東京メトロ丸ノ内線/本郷三丁目駅 歩4分 ＪＲ中央線/水道橋駅 歩9分 都営三田線/春日駅 歩7分,築7年,2階,15万円,4000円,1LDK,40.48m2
OZIO大手町,東京都千代田区神田錦町１,東京メトロ丸ノ内線/大手町駅 歩6分 都営新宿線/小川町駅 歩5分 東京メトロ丸ノ内線/淡路町駅 歩5分,築18年,2階,17.9万円,10000円,1LDK,40.49m2
