物件名,住所,アクセス,築年数,階数,家賃,管理費,間取り,広さ
ファトーラ田園調布,東京都大田区田園調布本町,東急池上線/雪が谷大塚駅 歩8分 東急多摩川線/沼部駅 歩10分 東急東横線/多摩川駅 歩12分,築17年,3階,8.5万円,5000円,1K,29.33m2
アークマーク新宿下落合,東京都新宿区中落合２,西武新宿線/下落合駅 歩10分 西武池袋線/椎名町駅 歩10分 ＪＲ山手線/高田馬場駅 歩22分,築2年,2階,9.5万円,15000円,1K,25.42m2
プラネックス青山,東京都大田区南千束３,東急目黒線/大岡山駅 歩11分 東急大井町線/北千束駅 歩17分 東急池上線/洗足池駅 歩5分,築27年,3階,11.6万円,3000円,2K,45.36m2
ファトーラ田園調布,東京都大田区田園調布本町,東急池上線/雪が谷大塚駅 歩8分 東急多摩川線/沼部駅 歩10分 東急東横線/多摩川駅 歩12分,築17年,3階,8.5万円,5000円,1K,29.33m2
ヘレンハウゼ,東京都新宿区百人町２,ＪＲ山手線/新大久保駅 歩5分 ＪＲ中央線/大久保駅 歩5分 西武新宿線/西武新宿駅 歩13分,築44年,4階,11.7万円,10000円,2DK,36.22m2
パークリュクス三宿,東京都世田谷区三宿１,東急田園都市線/三軒茶屋駅 歩10分 東急田園都市線/池尻大橋駅 歩10分 東急世田谷線/西太子堂駅 歩18分,築14年,3階,21.5万円,10000円,1LDK,47.06m2
アークマーク新宿下落合,東京都新宿区中落合２,西武新宿線/下落合駅 歩10分 西武池袋線/椎名町駅 歩10分 ＪＲ山手線/高田馬場駅 歩22分,築2年,2階,9.5万円,15000円,1K,25.42m2
都営浅草線 西馬込駅 3階建 築19年,東京都大田区西馬込１,都営浅草線/西馬込駅 歩5分 都営浅草線/馬込駅 歩10分 東急池上線/長原駅 歩29分,築19年,3階,7.2万円,3000円,1K,21.02m2
リブレ東新宿,東京都新宿区新宿７,都営大江戸線/東新宿駅 歩1分 ＪＲ山手線/新大久保駅 歩10分 ＪＲ山手線/新宿駅 歩15分,築17年,15階,20.7万円,0円,1LDK,42.79m2
北原ビル,東京都新宿区新小川町,ＪＲ中央線/飯田橋駅 歩6分 東京メトロ東西線/神楽坂駅 歩10分 東京メトロ丸ノ内線/後楽園駅 歩14分,築53年,2階,11万円,5000円,1LDK,35.22m2
プライムゲート飯田橋,東京都新宿区新小川町,東京メトロ南北線/飯田橋駅 歩8分 東京メトロ有楽町線/江戸川橋駅 歩11分 東京メトロ丸ノ内線/後楽園駅 歩14分,築30年,7階,28.5万円,10000円,2SLDK,78.05m2
グランヴァン東中野III,東京都新宿区北新宿４,ＪＲ中央線/東中野駅 歩7分 東京メトロ東西線/落合駅 歩10分 ＪＲ中央線/大久保駅 歩14分,築20年,8階,8.7万円,15000円,1K,27.81m2
INABAビル,東京都杉並区浜田山４,京王井の頭線/浜田山駅 歩7分 京王井の頭線/西永福駅 歩10分 京王線/上北沢駅 歩27分,築32年,3階,6.9万円,2000円,1K,24.34m2
カスタリア三宿,東京都世田谷区太子堂１,東急田園都市線/三軒茶屋駅 歩10分 東急田園都市線/池尻大橋駅 歩10分 東急世田谷線/西太子堂駅 歩18分,築17年,2階,20.7万円,10000円,1LDK,48.45m2
東急田園都市線 三軒茶屋駅 5階建 築17年,東京都世田谷区太子堂１,東急田園都市線/三軒茶屋駅 歩10分 東急田園都市線/池尻大橋駅 歩10分 東急世田谷線/西太子堂駅 歩18分,築17年,2階,20.7万円,10000円,1LDK,48.45m2
アークマーク八幡山,東京都世田谷区上北沢４,京王線/八幡山駅 歩4分 京王線/上北沢駅 歩9分 小田急線/経堂駅 バス23分 (バス停)八幡山駅 歩4分,新築,2階,9.15万円,20000円,1K,25.81m2
京王線 八幡山駅 9階建 新築,東京都世田谷区上北沢４,京王線/八幡山駅 歩4分 京王線/上北沢駅 歩9分 小田急線/経堂駅 バス23分 (バス停)八幡山駅 歩4分,新築,4階,9.25万円,20000円,1K,25.81m2
アルス宮の坂アネックス,東京都世田谷区宮坂１,小田急線/豪徳寺駅 歩9分 東急世田谷線/宮の坂駅 歩4分 小田急線/経堂駅 歩12分,築42年,2階,33.5万円,0円,3LDK,90.33m2
グランドメゾン阿佐谷,東京都杉並区阿佐谷南３,ＪＲ中央線/阿佐ケ谷駅 歩8分 東京メトロ丸ノ内線/南阿佐ケ谷駅 歩5分 ＪＲ中央線/荻窪駅 歩14分,築50年,6階,19万円,8000円,1LDK,55.82m2
TRUST VALUE市ヶ谷,東京都新宿区市谷仲之町,都営新宿線/曙橋駅 歩7分 都営大江戸線/若松河田駅 歩7分 ＪＲ中央線/市ケ谷駅 歩17分,築45年,5階,26.1万円,5500円,2LDK,67.7m2
オーク・ハイツ,東京都杉並区高井戸西２,京王井の頭線/富士見ヶ丘駅 歩5分 京王井の頭線/久我山駅 歩11分 ＪＲ中央線/荻窪駅 バス18分 (バス停)春日神社 歩9分,築45年,2階,12万円,3000円,2DK,50.04m2
日神パレステージ馬込,東京都大田区中馬込３,都営浅草線/西馬込駅 歩7分 都営浅草線/馬込駅 歩6分 東急大井町線/荏原町駅 歩18分,築30年,2階,8.9万円,7000円,1DK,34.45m2
ザ・パークハビオ明大前,東京都世田谷区松原２,京王線/明大前駅 歩3分 東急世田谷線/下高井戸駅 歩11分 京王井の頭線/東松原駅 歩13分,築2年,5階,19.5万円,15000円,1LDK,42.24m2
Abiete five,東京都世田谷区松原５,京王井の頭線/東松原駅 歩3分 京王線/明大前駅 歩13分 小田急線/梅ヶ丘駅 歩9分,築3年,4階,9.2万円,6000円,ワンルーム,20.06m2
第3ダイヤモンドビル,東京都新宿区大久保２,東京メトロ副都心線/西早稲田駅 歩7分 都営大江戸線/東新宿駅 歩7分 ＪＲ山手線/新大久保駅 歩12分,築47年,10階,12.5万円,5000円,1LDK,33m2
セザール下井草,東京都杉並区井草２,西武新宿線/井荻駅 歩6分 西武新宿線/下井草駅 歩6分 ＪＲ中央線/荻窪駅 バス17分 (バス停)井荻駅 歩7分,築33年,1階,4.8万円,10000円,1K,16.42m2
MCビル,東京都大田区西蒲田７,東急池上線/蓮沼駅 歩2分 ＪＲ京浜東北線/蒲田駅 歩10分 東急多摩川線/矢口渡駅 歩13分,築36年,5階,9.6万円,0円,1LDK,51.06m2
PARK SQUARE 荻窪,東京都杉並区天沼３,ＪＲ中央線/荻窪駅 歩5分 ＪＲ中央線/阿佐ケ谷駅 歩20分 東京メトロ丸ノ内線/南阿佐ケ谷駅 バス7分 (バス停)荻窪 歩5分,築4年,2階,9.5万円,14000円,ワンルーム,25.5m2
パティーナ馬込,東京都大田区中馬込２,都営浅草線/馬込駅 歩4分 東急大井町線/荏原町駅 歩16分 東急池上線/旗の台駅 歩22分,築13年,2階,9万円,10000円,1DK,28.97m2
GENOVIA新宿中落合skygarden,東京都新宿区中落合２,西武新宿線/下落合駅 歩9分 都営大江戸線/中井駅 歩10分 西武池袋線/椎名町駅 歩12分,築5年,4階,9万円,15000円,1K,25.85m2
メゾン佐藤,東京都新宿区高田馬場３,西武新宿線/下落合駅 歩5分 ＪＲ山手線/高田馬場駅 歩10分 西武新宿線/中井駅 歩14分,築50年,4階,11.5万円,5000円,1LDK,40.33m2
永島ビル,東京都文京区千石４,都営三田線/千石駅 歩2分 ＪＲ山手線/巣鴨駅 歩8分 東京メトロ南北線/駒込駅 歩15分,築58年,5階,7万円,0円,1K,28m2
メインステージ西荻窪II,東京都杉並区西荻南２,ＪＲ中央線/西荻窪駅 歩3分 京王井の頭線/三鷹台駅 バス6分 (バス停)大和通り 歩3分 京王井の頭線/久我山駅 バス3分 (バス停)大和通り 歩3分,築16年,4階,9.5万円,15000円,1K,26.85m2
パークハウス麻布十番アーバンス,東京都港区麻布十番３,東京メトロ南北線/麻布十番駅 歩3分 都営大江戸線/赤羽橋駅 歩13分 都営三田線/白金高輪駅 歩14分,築17年,3階,17.9万円,10000円,1LDK,41.07m2
パティーナ馬込,東京都大田区中馬込２,都営浅草線/馬込駅 歩4分 東急大井町線/荏原町駅 歩16分 東急池上線/旗の台駅 歩22分,築13年,2階,9万円,10000円,1DK,28.97m2
GENOVIA新宿中落合skygarden,東京都新宿区中落合２,西武新宿線/下落合駅 歩9分 都営大江戸線/中井駅 歩10分 西武池袋線/椎名町駅 歩12分,築5年,4階,9万円,15000円,1K,25.85m2
メゾン佐藤,東京都新宿区高田馬場３,西武新宿線/下落合駅 歩5分 ＪＲ山手線/高田馬場駅 歩10分 西武新宿線/中井駅 歩14分,築50年,4階,11.5万円,5000円,1LDK,40.33m2
永島ビル,東京都文京区千石４,都営三田線/千石駅 歩2分 ＪＲ山手線/巣鴨駅 歩8分 東京メトロ南北線/駒込駅 歩15分,築58年,5階,7万円,0円,1K,28m2
ガリシア大森,東京都大田区大森北１,ＪＲ京浜東北線/大森駅 歩4分 京急本線/大森海岸駅 歩8分 都営浅草線/馬込駅 バス14分 (バス停)大森駅 歩5分,築19年,4階,7.5万円,10000円,1K,20.7m2
小田急線 代々木八幡駅 7階建 築21年,東京都渋谷区富ヶ谷２,小田急線/代々木八幡駅 歩10分 東京メトロ千代田線/代々木公園駅 歩11分 京王井の頭線/駒場東大前駅 歩15分,築21年,5階,12.5万円,12000円,1DK,31.8m2
マリンコート,東京都杉並区西荻南２,ＪＲ中央線/西荻窪駅 歩9分 京王井の頭線/久我山駅 歩18分 西武新宿線/井荻駅 バス19分 (バス停)西荻窪駅 歩9分,築36年,2階,13.7万円,5000円,1LDK,42.52m2
ハイタウン世田谷代田,東京都世田谷区若林５,東急世田谷線/若林駅 歩7分 小田急線/世田谷代田駅 歩13分 小田急線/梅ヶ丘駅 歩13分,築33年,2階,10.5万円,10000円,2DK,32.99m2
アムス四谷三丁目,東京都新宿区愛住町,東京メトロ丸ノ内線/四谷三丁目駅 歩1分 都営新宿線/曙橋駅 歩6分 ＪＲ中央線/四ツ谷駅 歩13分,築20年,11階,22万円,10000円,1LDK,58.82m2
東京メトロ丸ノ内線 四谷三丁目駅 14階建 築20年,東京都新宿区愛住町,東京メトロ丸ノ内線/四谷三丁目駅 歩1分 都営新宿線/曙橋駅 歩6分 ＪＲ総武線/四ツ谷駅 歩12分,築20年,11階,22万円,10000円,1LDK,58.82m2
グランアセット経堂,東京都世田谷区宮坂２,小田急線/経堂駅 歩3分 東急世田谷線/宮の坂駅 歩10分 小田急線/豪徳寺駅 歩12分,築17年,4階,10.2万円,3000円,1K,19.26m2
マツバラハウス,東京都世田谷区松原４,東急世田谷線/松原駅 歩5分 京王線/下高井戸駅 歩7分 小田急線/豪徳寺駅 歩19分,築4年,1階,7.8万円,4000円,ワンルーム,16.61m2
プレール馬込,東京都品川区西大井５,ＪＲ埼京線/西大井駅 歩9分 都営浅草線/馬込駅 歩8分 東急大井町線/中延駅 歩16分,築36年,1階,6.5万円,15000円,ワンルーム,30.91m2
アーデン代々木上原,東京都世田谷区北沢５,東京メトロ千代田線/代々木上原駅 歩12分 京王線/笹塚駅 歩9分 小田急線/下北沢駅 歩15分,築18年,2階,11万円,7000円,ワンルーム,25.92m2
ローズハイツ,東京都新宿区中井１,西武新宿線/中井駅 歩5分 東京メトロ東西線/落合駅 歩10分 ＪＲ中央線/東中野駅 歩15分,築37年,1階,6.5万円,5000円,2K,24.5m2
プラチナヒルズ,東京都港区白金台４,東京メトロ南北線/白金台駅 歩2分 ＪＲ山手線/目黒駅 歩13分 都営浅草線/高輪台駅 歩14分,築23年,2階,13万円,10000円,1DK,34.28m2
東京メトロ南北線 白金台駅 地下1地上10階建 築23年,東京都港区白金台４,東京メトロ南北線/白金台駅 歩2分 ＪＲ山手線/目黒駅 歩13分 都営浅草線/高輪台駅 歩14分,築23年,2階,13万円,10000円,1DK,34.28m2
リフィオ三軒茶屋,東京都世田谷区太子堂５,東急田園都市線/三軒茶屋駅 歩8分 東急世田谷線/西太子堂駅 歩6分 小田急線/世田谷代田駅 歩23分,築36年,2階,17.2万円,6000円,1LDK,42.75m2
エーデル東松原,東京都世田谷区松原５,京王線/明大前駅 歩9分 京王井の頭線/東松原駅 歩4分 京王井の頭線/新代田駅 歩11分,築34年,3階,16万円,0円,2DK,51m2
野田ビル,東京都新宿区西落合２,都営大江戸線/落合南長崎駅 歩6分 西武新宿線/新井薬師前駅 歩10分 西武新宿線/中井駅 歩20分,築45年,2階,7.7万円,3000円,2K,25.71m2
セイショウ・ヴィレッジ,東京都新宿区住吉町,都営新宿線/曙橋駅 歩8分 都営大江戸線/若松河田駅 歩9分 東京メトロ丸ノ内線/四谷三丁目駅 歩11分,築46年,2階,13万円,8000円,2DK,40.32m2
modernotorresho-to,東京都渋谷区松濤２,京王井の頭線/神泉駅 歩7分 ＪＲ山手線/渋谷駅 歩13分 東京メトロ千代田線/代々木公園駅 歩18分,築17年,11階,17.6万円,15000円,ワンルーム,35.97m2
津之守坂マンション,東京都新宿区荒木町,都営新宿線/曙橋駅 歩4分 東京メトロ丸ノ内線/四谷三丁目駅 歩8分 ＪＲ中央線/四ツ谷駅 歩12分,築51年,6階,11万円,5000円,1LDK,36m2
新宿セントラルヴィレッジ,東京都新宿区北新宿２,東京メトロ丸ノ内線/西新宿駅 歩10分 東京メトロ丸ノ内線/中野坂上駅 歩9分 ＪＲ中央線/大久保駅 歩12分,築36年,3階,12万円,3000円,1LDK,43.74m2
ジオ文京千石,東京都文京区千石４,ＪＲ山手線/巣鴨駅 歩12分 都営三田線/千石駅 歩4分 東京メトロ丸ノ内線/新大塚駅 歩18分,築5年,6階,28万円,0円,ワンルーム,55.92m2
上野毛ハイム1号棟,東京都世田谷区上野毛３,東急大井町線/上野毛駅 歩6分 東急田園都市線/二子玉川駅 歩13分 東急大井町線/等々力駅 歩21分,築53年,2階,17.8万円,10000円,2LDK,71.98m2
ウィンド山王ビル,東京都大田区山王２,ＪＲ京浜東北線/大森駅 歩10分 都営浅草線/馬込駅 歩10分 ＪＲ横須賀線/西大井駅 歩19分,築42年,5階,11万円,5000円,1LDK,47.57m2
丸善高円寺ハイツ,東京都杉並区高円寺北２,ＪＲ総武線/高円寺駅 歩3分 ＪＲ中央線/中野駅 歩18分 西武新宿線/野方駅 バス3分 (バス停)杉並芸術会館・座・高円寺前 歩2分,築52年,2階,11万円,0円,2DK,28.62m2
丸元マンション,東京都世田谷区経堂５,小田急線/経堂駅 歩8分 小田急線/千歳船橋駅 歩10分 東急世田谷線/宮の坂駅 歩14分,築54年,3階,12万円,3000円,2DK,45.5m2
丸善高円寺ハイツ,東京都杉並区高円寺北２,ＪＲ総武線/高円寺駅 歩3分 ＪＲ中央線/中野駅 歩18分 西武新宿線/野方駅 バス3分 (バス停)杉並芸術会館・座・高円寺前 歩2分,築52年,2階,11万円,0円,2DK,28.62m2
グラスシャック,東京都新宿区若松町,都営大江戸線/若松河田駅 歩5分 東京メトロ副都心線/東新宿駅 歩9分 東京メトロ東西線/早稲田駅 歩15分,築34年,1階,9万円,0円,1DK,33.57m2
NICハイム蒲田,東京都大田区蒲田１,ＪＲ京浜東北線/蒲田駅 歩9分 京急本線/梅屋敷駅 歩10分 京急本線/京急蒲田駅 歩13分,築47年,7階,8万円,10000円,1LDK,36.72m2
プラムフラット,東京都世田谷区代沢２,小田急線/下北沢駅 歩6分 京王井の頭線/池ノ上駅 歩5分 小田急線/東北沢駅 歩12分,築55年,4階,9万円,3000円,2K,30m2
パークフラッツ学芸大学,東京都世田谷区野沢３,東急東横線/学芸大学駅 歩10分 東急東横線/都立大学駅 歩20分 東急田園都市線/駒沢大学駅 歩22分,築15年,5階,18.4万円,15000円,1LDK,46.43m2
都営浅草線 本所吾妻橋駅 7階建 築2年,東京都墨田区東駒形２,都営浅草線/本所吾妻橋駅 歩5分 東京メトロ銀座線/浅草駅 歩7分 都営大江戸線/蔵前駅 歩14分,築2年,2階,10万円,10000円,1SK,25.59m2
ディームス等々力,東京都世田谷区等々力２,東急大井町線/等々力駅 歩3分 東急大井町線/尾山台駅 歩7分 東急東横線/自由が丘駅 歩26分,築15年,B1階,11.2万円,8000円,ワンルーム,32.02m2
PLUS,東京都新宿区中落合４,都営大江戸線/落合南長崎駅 歩4分 西武新宿線/中井駅 歩10分 東京メトロ東西線/落合駅 歩18分,築19年,1階,9万円,3000円,ワンルーム,29.45m2
ユニーブル上馬,東京都世田谷区上馬２,東急田園都市線/三軒茶屋駅 歩10分 東急世田谷線/西太子堂駅 歩10分 ＪＲ山手線/渋谷駅 バス25分 (バス停)中里 歩5分,築41年,1階,11万円,0円,2DK,41.31m2
サンライズコーポ,東京都世田谷区代田４,京王井の頭線/新代田駅 歩4分 小田急線/世田谷代田駅 歩3分 小田急線/下北沢駅 歩11分,築44年,2階,11.3万円,0円,2K,37.66m2
Global Court（グローバルコート）,東京都墨田区太平４,ＪＲ総武線快速/錦糸町駅 歩7分 東京メトロ半蔵門線/錦糸町駅 歩7分 ,築7年,1階,13万円,5000円,1SK,46.86m2
Reve Residence学芸大学III,東京都世田谷区下馬６,東急東横線/学芸大学駅 歩10分 東急東横線/祐天寺駅 歩21分 東急田園都市線/三軒茶屋駅 歩29分,築2年,4階,20万円,10000円,1LDK,40.58m2
たちばなハイツ,東京都大田区下丸子１,東急多摩川線/武蔵新田駅 歩5分 東急多摩川線/下丸子駅 歩8分 東急池上線/千鳥町駅 歩11分,築37年,3階,8.3万円,3000円,1DK,26.23m2
水稲荷マンション,東京都新宿区西早稲田３,東京メトロ副都心線/西早稲田駅 歩9分 東京メトロ東西線/早稲田駅 歩9分 ＪＲ山手線/高田馬場駅 歩13分,築49年,2階,9万円,5000円,1LDK,35m2
ブロックスコート,東京都世田谷区三軒茶屋１,東急田園都市線/三軒茶屋駅 歩3分 東急世田谷線/西太子堂駅 歩10分 東急田園都市線/駒沢大学駅 歩19分,築36年,3階,18.9万円,10000円,1LDK,50.7m2
アゼリア荘,東京都杉並区井草１,西武新宿線/下井草駅 歩9分 西武新宿線/井荻駅 歩15分 西武池袋線/富士見台駅 歩15分,築51年,2階,8.8万円,0円,1LDK,34.65m2
恵比寿ガーデンテラス弐番館,東京都渋谷区恵比寿４,ＪＲ山手線/恵比寿駅 歩8分 ＪＲ山手線/目黒駅 歩14分 東京メトロ日比谷線/広尾駅 歩17分,築30年,4階,34.6万円,0円,1LDK,66.59m2
シンシア幡ヶ谷,東京都渋谷区幡ヶ谷２,京王新線/幡ヶ谷駅 歩1分 京王線/笹塚駅 歩14分 東京メトロ千代田線/代々木上原駅 歩20分,築21年,4階,8.3万円,10000円,1K,21.54m2
キャピタル小金井,東京都杉並区高円寺北１,ＪＲ中央線/高円寺駅 歩10分 ＪＲ中央線/中野駅 歩15分 西武新宿線/野方駅 歩21分,築48年,2階,9.8万円,3000円,2DK,35.5m2
VIDA高井戸,東京都杉並区高井戸西１,京王井の頭線/高井戸駅 歩10分 京王線/八幡山駅 歩12分 京王線/上北沢駅 歩22分,築18年,1階,6.7万円,15000円,1K,22.33m2
ASハイツ,東京都新宿区上落合１,西武新宿線/下落合駅 歩2分 西武新宿線/中井駅 歩9分 ＪＲ山手線/高田馬場駅 歩16分,築46年,4階,8.5万円,3000円,2DK,41.25m2
シンシア蒲田セカンドステージ,東京都大田区新蒲田３,ＪＲ京浜東北線/蒲田駅 歩9分 東急池上線/蓮沼駅 歩10分 東急多摩川線/矢口渡駅 歩12分,築23年,5階,6.9万円,6000円,1K,21m2
福島ハイツ,東京都品川区西五反田６,ＪＲ山手線/五反田駅 歩14分 東急目黒線/不動前駅 歩8分 東急池上線/戸越銀座駅 歩11分,築47年,3階,8万円,2000円,2K,31.05m2
宝ビル,東京都大田区東蒲田１,京急本線/梅屋敷駅 歩2分 京急本線/大森町駅 歩9分 ＪＲ京浜東北線/蒲田駅 歩19分,築51年,2階,8.5万円,0円,1LDK,31.58m2
センターハイツ梅ヶ丘,東京都世田谷区若林５,東急世田谷線/若林駅 歩9分 小田急線/梅ヶ丘駅 歩10分 東急田園都市線/三軒茶屋駅 歩20分,築38年,7階,34.8万円,37330円,2LDK,90.87m2
平原マンション,東京都世田谷区三軒茶屋１,東急田園都市線/三軒茶屋駅 歩3分 東急世田谷線/西太子堂駅 歩9分 東急田園都市線/駒沢大学駅 歩19分,築53年,4階,9万円,0円,2K,27m2
東急田園都市線 三軒茶屋駅 4階建 築53年,東京都世田谷区三軒茶屋１,東急田園都市線/三軒茶屋駅 歩3分 東急世田谷線/西太子堂駅 歩9分 東急田園都市線/駒沢大学駅 歩19分,築53年,3階,13万円,0円,2DK,47m2
M-1 Tokyo 南六郷,東京都大田区南六郷２,京急本線/雑色駅 歩9分 ＪＲ京浜東北線/蒲田駅 バス25分 (バス停)六郷水門前 歩2分 京急空港線/糀谷駅 歩18分,築6年,2階,11.1万円,4000円,1K,44.71m2
レイクヒルズ,東京都世田谷区三軒茶屋２,東急田園都市線/三軒茶屋駅 歩4分 東急世田谷線/西太子堂駅 歩7分 東急田園都市線/駒沢大学駅 歩15分,築27年,5階,8.2万円,4000円,1K,20m2
ヴェルト三軒茶屋,東京都世田谷区三軒茶屋１,東急田園都市線/三軒茶屋駅 歩1分 東急世田谷線/西太子堂駅 歩8分 東急田園都市線/池尻大橋駅 歩20分,築18年,5階,8.7万円,15000円,1K,21.76m2
増田ビル,東京都大田区上池台１,東急池上線/長原駅 歩1分 東急大井町線/旗の台駅 歩9分 東急大井町線/北千束駅 歩12分,築48年,2階,12万円,2000円,1LDK,44.5m2
ＵＲコラム南青山,東京都港区南青山７,東京メトロ千代田線/表参道駅 歩9分 東京メトロ日比谷線/広尾駅 歩15分 東京メトロ半蔵門線/表参道駅 歩12分,築37年,8階,23.65万円,9100円,1LDK,56.11m2
三鶴屋ハウス,東京都新宿区中落合３,都営大江戸線/落合南長崎駅 歩8分 西武池袋線/椎名町駅 歩9分 ＪＲ山手線/目白駅 歩20分,築24年,3階,9.2万円,5000円,ワンルーム,27.37m2
ジェノヴィアヒルズ西馬込ロッソ,東京都大田区中馬込３,都営浅草線/西馬込駅 歩9分 東急大井町線/荏原町駅 歩19分 東急池上線/長原駅 歩20分,築13年,3階,7.2万円,10000円,1K,23.52m2
パレ・ドール杉並,東京都杉並区上高井戸１,京王線/芦花公園駅 歩6分 京王線/八幡山駅 歩8分 京王井の頭線/高井戸駅 歩19分,築40年,4階,3.8万円,10000円,ワンルーム,14.4m2
東急田園都市線 二子玉川駅 地下1地上7階建 築17年,東京都世田谷区玉川４,東急田園都市線/二子玉川駅 歩9分 東急大井町線/上野毛駅 歩23分 東急田園都市線/用賀駅 歩18分,築17年,2階,12.1万円,6000円,1DK,30.06m2
ハヤマビル,東京都世田谷区代田４,小田急線/世田谷代田駅 歩2分 京王井の頭線/新代田駅 歩7分 京王井の頭線/東松原駅 歩11分,築56年,2階,10万円,5000円,2DK,35m2
FORTIS池上,東京都大田区池上４,東急池上線/池上駅 歩6分 都営浅草線/西馬込駅 歩18分 ＪＲ京浜東北線/蒲田駅 バス12分 (バス停)本門寺前 歩4分,築18年,4階,6.95万円,15000円,ワンルーム,21.4m2
グロリアハイツ,東京都港区西麻布３,東京メトロ日比谷線/広尾駅 歩8分 都営大江戸線/六本木駅 歩10分 東京メトロ千代田線/乃木坂駅 歩13分,築50年,2階,11万円,5000円,ワンルーム,33m2
AQUA STYLE,東京都大田区北千束２,東急大井町線/北千束駅 歩1分 東急目黒線/洗足駅 歩7分 東急目黒線/大岡山駅 歩11分,新築,3階,14.2万円,3000円,ワンルーム,36.86m2
小田急線 下北沢駅 3階建 新築,東京都世田谷区代田６,小田急線/下北沢駅 歩1分 京王井の頭線/新代田駅 歩9分 京王線/笹塚駅 歩20分,新築,1階,12万円,0円,ワンルーム,27.5m2
MISON VERT,東京都世田谷区代田６,小田急線/下北沢駅 歩1分 京王井の頭線/新代田駅 歩9分 京王線/笹塚駅 歩20分,新築,1階,12万円,0円,ワンルーム,27.5m2
エクセリア池上,東京都大田区池上３,東急池上線/池上駅 歩5分 東急多摩川線/武蔵新田駅 歩14分 都営浅草線/西馬込駅 歩21分,築23年,4階,7.2万円,6000円,1K,20.01m2
セリーヌ田園調布,東京都世田谷区東玉川１,東急東横線/田園調布駅 歩13分 東急目黒線/奥沢駅 歩11分 東急池上線/雪が谷大塚駅 歩10分,築44年,2階,16.2万円,5000円,1SLDK,72.13m2
中銀第2世田谷マンシオン,東京都世田谷区世田谷２,東急世田谷線/上町駅 歩8分 小田急線/経堂駅 歩22分 東急田園都市線/桜新町駅 歩15分,築39年,3階,13万円,0円,2DK,45.73m2
東急世田谷線 上町駅 6階建 築39年,東京都世田谷区世田谷２,東急世田谷線/上町駅 歩8分 小田急線/経堂駅 歩22分 東急田園都市線/桜新町駅 歩15分,築39年,3階,13万円,0円,2DK,45.73m2
第3近江マンション,東京都世田谷区南烏山１,京王線/芦花公園駅 歩4分 京王線/八幡山駅 歩10分 京王井の頭線/高井戸駅 歩29分,築36年,3階,6.5万円,2000円,1DK,28m2
グリーニエ西新宿参番館,東京都新宿区西新宿８,東京メトロ丸ノ内線/西新宿駅 歩4分 都営大江戸線/都庁前駅 歩12分 ＪＲ山手線/新宿駅 歩13分,築9年,4階,11.5万円,6000円,ワンルーム,30.02m2
CREVISTA祖師ヶ谷大蔵,東京都世田谷区砧８,小田急線/祖師ヶ谷大蔵駅 歩3分 小田急線/成城学園前駅 歩11分 小田急線/千歳船橋駅 歩23分,築3年,1階,8.9万円,15000円,1K,25.42m2
グラントゥルース世田谷砧,東京都世田谷区砧２,小田急線/祖師ヶ谷大蔵駅 歩10分 小田急線/千歳船橋駅 歩10分 小田急線/成城学園前駅 歩23分,築17年,3階,8万円,15000円,ワンルーム,27.62m2
小田急線 祖師ヶ谷大蔵駅 地下1地上5階建 築17年,東京都世田谷区砧２,小田急線/祖師ヶ谷大蔵駅 歩10分 小田急線/千歳船橋駅 歩10分 小田急線/成城学園前駅 歩23分,築17年,3階,8万円,15000円,ワンルーム,27.62m2
T´s garden 下高井戸,東京都世田谷区赤堤４,京王線/下高井戸駅 歩5分 東急世田谷線/松原駅 歩7分 京王井の頭線/明大前駅 歩15分,築33年,2階,5.95万円,8500円,1K,16.53m2
ブライズ蒲田EAST,東京都大田区北糀谷１,京急本線/梅屋敷駅 歩10分 京急空港線/京急蒲田駅 歩15分 京急空港線/糀谷駅 歩16分,築5年,2階,8.2万円,10000円,1K,25.66m2
ブライズ大森町,東京都大田区大森西４,京急本線/大森町駅 歩9分 ＪＲ京浜東北線/蒲田駅 歩22分 京急本線/梅屋敷駅 歩16分,築18年,2階,7.4万円,6000円,1K,20.71m2
フラットワセダ,東京都新宿区西早稲田１,東京メトロ東西線/早稲田駅 歩5分 東京メトロ有楽町線/江戸川橋駅 歩14分 東京メトロ副都心線/西早稲田駅 歩19分,築33年,6階,11.4万円,13000円,1DK,38.61m2
東急東横線 学芸大学駅 5階建 築12年,東京都世田谷区野沢３,東急東横線/学芸大学駅 歩10分 東急東横線/都立大学駅 歩18分 東急田園都市線/駒沢大学駅 歩23分,築12年,1階,9.7万円,5000円,1K,33.71m2
富士見マンション,東京都杉並区和田１,東京メトロ丸ノ内線/中野富士見町駅 歩5分 東京メトロ丸ノ内線/方南町駅 歩12分 東京メトロ丸ノ内線/東高円寺駅 歩17分,築36年,2階,9万円,5000円,ワンルーム,29.81m2
下落合ハウス,東京都新宿区下落合１,西武新宿線/下落合駅 歩2分 ＪＲ山手線/高田馬場駅 歩12分 都営大江戸線/中井駅 歩14分,築40年,1階,14.5万円,5000円,2DK,43.52m2
リバティ奥沢,東京都世田谷区奥沢３,東急目黒線/奥沢駅 歩4分 東急大井町線/緑が丘駅 歩10分 東急東横線/自由が丘駅 歩13分,築32年,2階,7.9万円,10000円,ワンルーム,30.84m2
