物件名,住所,築年数,階数,家賃,管理費,間取り,広さ,敷金,礼金,物件画像URL,物件詳細URL,アクセス1路線,アクセス1駅名,アクセス1徒歩,アクセス2路線,アクセス2駅名,アクセス2徒歩,アクセス3路線,アクセス3駅名,アクセス3徒歩
パレ・ソレイユ東日本橋,東京都中央区東日本橋３,19,2,15.6,0,1LDK,45.33,15.6,15.6,https://img01.suumo.com/front/gazo/fr/bukken/992/100356381992/100356381992_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086866930/?bc=100356381992,都営浅草線,東日本橋, 1, 都営新宿線,馬喰横山, 1, ＪＲ総武線快速,馬喰町, 4
クオリタス秋葉原,東京都千代田区神田佐久間町４,2,15,21.9,20000,1LDK,42.56,0,0,https://img01.suumo.com/front/gazo/fr/bukken/654/100356477654/100356477654_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000077297467/?bc=100356477654,東京メトロ日比谷線,秋葉原, 5, ＪＲ総武線,浅草橋, 6, 都営新宿線,岩本町, 8
レーヴ半蔵門,東京都千代田区隼町,8,8,27.3,10000,1SLDK,54.15,27.3,0,https://img01.suumo.com/front/gazo/fr/bukken/875/100354266875/100354266875_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000043896084/?bc=100356431599,東京メトロ半蔵門線,半蔵門, 2, 東京メトロ有楽町線,麹町, 7, 東京メトロ有楽町線,永田町, 8
レーヴ半蔵門,東京都千代田区隼町,8,11,28,10000,1SLDK,54.15,28,28,https://img01.suumo.com/front/gazo/fr/bukken/875/100354266875/100354266875_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086532025/?bc=100354266875,東京メトロ半蔵門線,半蔵門, 2, 東京メトロ有楽町線,麹町, 7, 東京メトロ有楽町線,永田町, 8
レーヴ半蔵門,東京都千代田区隼町,8,2,31.3,10500,1SLDK,54.15,0,31.3,https://img01.suumo.com/front/gazo/fr/bukken/875/100354266875/100354266875_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000081766252/?bc=100347073366,東京メトロ半蔵門線,半蔵門, 2, 東京メトロ有楽町線,麹町, 7, 東京メトロ有楽町線,永田町, 8
レーヴ半蔵門,東京都千代田区隼町,8,5,32,10500,1SLDK,54.15,0,32,https://img01.suumo.com/front/gazo/fr/bukken/875/100354266875/100354266875_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000081766254/?bc=100350314363,東京メトロ半蔵門線,半蔵門, 2, 東京メトロ有楽町線,麹町, 7, 東京メトロ有楽町線,永田町, 8
レーヴ半蔵門,東京都千代田区隼町,8,6,32.1,10500,1SLDK,54.15,0,32.1,https://img01.suumo.com/front/gazo/fr/bukken/875/100354266875/100354266875_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086429887/?bc=100353657067,東京メトロ半蔵門線,半蔵門, 2, 東京メトロ有楽町線,麹町, 7, 東京メトロ有楽町線,永田町, 8
ナーベルお茶の水,東京都文京区湯島１,21,9,17.4,15000,1LDK,50.86,17.4,17.4,https://img01.suumo.com/front/gazo/fr/bukken/582/100356477582/100356477582_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086836087/?bc=100356477582,ＪＲ中央線,御茶ノ水, 4, 東京メトロ千代田線,新御茶ノ水, 8, 都営大江戸線,本郷三丁目, 10
ナーベルお茶の水,東京都文京区湯島１,21,9,19.9,15000,1LDK,57.46,19.9,19.9,https://img01.suumo.com/front/gazo/fr/bukken/582/100356477582/100356477582_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086836086/?bc=100356301747,ＪＲ中央線,御茶ノ水, 4, 東京メトロ千代田線,新御茶ノ水, 8, 都営大江戸線,本郷三丁目, 10
リガーレ日本橋人形町,東京都中央区日本橋人形町１,17,39,27.4,6000,1LDK,50.9,27.4,54.8,https://img01.suumo.com/front/gazo/fr/bukken/111/100345406111/100345406111_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086509534/?bc=100353939769,東京メトロ半蔵門線,水天宮前, 1, 東京メトロ日比谷線,人形町, 2, 東京メトロ東西線,茅場町, 7
リガーレ日本橋人形町,東京都中央区日本橋人形町１,17,32,27.5,6000,1LDK,55.16,27.5,55,https://img01.suumo.com/front/gazo/fr/bukken/111/100345406111/100345406111_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086278747/?bc=100354787193,東京メトロ半蔵門線,水天宮前, 1, 東京メトロ日比谷線,人形町, 2, 東京メトロ東西線,茅場町, 7
リガーレ日本橋人形町,東京都中央区日本橋人形町１,17,18,28.8,6000,1SLDK,59.08,28.8,57.6,https://img01.suumo.com/front/gazo/fr/bukken/111/100345406111/100345406111_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086881207/?bc=100356477667,東京メトロ半蔵門線,水天宮前, 1, 東京メトロ日比谷線,人形町, 2, 東京メトロ東西線,茅場町, 7
リガーレ日本橋人形町,東京都中央区日本橋人形町１,17,16,38,6000,2LDK,78.16,38,76,https://img01.suumo.com/front/gazo/fr/bukken/111/100345406111/100345406111_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085227100/?bc=100345406111,東京メトロ半蔵門線,水天宮前, 1, 東京メトロ日比谷線,人形町, 2, 東京メトロ東西線,茅場町, 7
シンシア本郷三丁目,東京都文京区湯島４,22,2,7.8,12000,1K,21.95,3.9,3.9,https://img01.suumo.com/front/gazo/fr/bukken/520/100355812520/100355812520_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086767762/?bc=100355812520,東京メトロ丸ノ内線,本郷三丁目, 6, 東京メトロ千代田線,湯島, 8, 東京メトロ銀座線,上野広小路, 10
アーバンコートサカスIII,東京都文京区向丘１,39,4,15.7,8000,1LDK,47.34,15.7,15.7,https://img01.suumo.com/front/gazo/fr/bukken/707/100356430707/100356430707_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086839789/?bc=100356430707,都営三田線,白山, 5, 東京メトロ南北線,東大前, 6, 東京メトロ南北線,本駒込, 5
