物件名,住所,築年数,階数,家賃,管理費,間取り,広さ,敷金,礼金,物件画像URL,物件詳細URL,アクセス1路線,アクセス1駅名,アクセス1徒歩,アクセス2路線,アクセス2駅名,アクセス2徒歩,アクセス3路線,アクセス3駅名,アクセス3徒歩
東武伊勢崎線 鐘ヶ淵駅 3階建 築6年,東京都墨田区墨田３,6,2,10.6,4000,1LDK,41.41,5.3,15.9,https://img01.suumo.com/front/gazo/fr/bukken/173/100350194173/100350194173_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085963049/?bc=100350194173,東武伊勢崎線,鐘ヶ淵, 2, 東武伊勢崎線,東向島, 10, 京成押上線,八広, 14
ベイサイド竹芝,東京都港区海岸１,12,15,24.5,0,1LDK,55.17,49,49,https://img01.suumo.com/front/gazo/fr/bukken/346/100347432346/100347432346_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085540928/?bc=100347432346,ＪＲ山手線,浜松町, 6, 新交通ゆりかもめ,竹芝, 1, 都営大江戸線,大門, 9
ベイサイド竹芝,東京都港区海岸１,12,15,26,0,1LDK,55.59,52,52,https://img01.suumo.com/front/gazo/fr/bukken/346/100347432346/100347432346_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086066779/?bc=100351375929,ＪＲ山手線,浜松町, 6, 新交通ゆりかもめ,竹芝, 1, 都営大江戸線,大門, 9
ベイサイド竹芝,東京都港区海岸１,12,12,34,0,1LDK,70.17,68,68,https://img01.suumo.com/front/gazo/fr/bukken/346/100347432346/100347432346_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086259826/?bc=100352395750,ＪＲ山手線,浜松町, 6, 新交通ゆりかもめ,竹芝, 1, 都営大江戸線,大門, 9
ライズ代々木3,東京都渋谷区代々木１,4,5,18.4,15000,1LDK,33.41,18.4,0,https://img01.suumo.com/front/gazo/fr/bukken/259/100342574259/100342574259_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000066019678/?bc=100342574259,小田急線,南新宿, 5, ＪＲ山手線,代々木, 6, 小田急線,参宮橋, 10
ライズ代々木3,東京都渋谷区代々木１,4,5,22.4,15000,1LDK,40.14,22.4,0,https://img01.suumo.com/front/gazo/fr/bukken/259/100342574259/100342574259_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000071614115/?bc=100355261248,小田急線,南新宿, 5, ＪＲ山手線,代々木, 6, 小田急線,参宮橋, 10
都営大江戸線 両国駅 8階建 築20年,東京都墨田区緑１,20,3,10,9000,1DK,34.88,0,5,https://img01.suumo.com/front/gazo/fr/bukken/011/100356010011/100356010011_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086571925/?bc=100356010011,都営大江戸線,両国, 1, ＪＲ総武線,両国, 6, 都営新宿線,森下, 9
橘ビル,東京都墨田区緑１,20,3,10,9000,1DK,34.88,0,5,https://img01.suumo.com/front/gazo/fr/bukken/897/100356012897/100356012897_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086561449/?bc=100356012897,都営大江戸線,両国, 1, ＪＲ総武線,両国, 6, 都営新宿線,森下, 9
パークハビオ八丁堀,東京都中央区八丁堀３,16,5,19.8,10000,1LDK,48.88,19.8,19.8,https://img01.suumo.com/front/gazo/fr/bukken/349/100346376349/100346376349_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085376805/?bc=100353467966,東京メトロ日比谷線,八丁堀, 3, 東京メトロ銀座線,京橋, 7, ＪＲ山手線,東京, 15
パークハビオ八丁堀,東京都中央区八丁堀３,16,6,19.8,10000,1LDK,44.74,19.8,19.8,https://img01.suumo.com/front/gazo/fr/bukken/349/100346376349/100346376349_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000083001925/?bc=100331748111,東京メトロ日比谷線,八丁堀, 3, 東京メトロ銀座線,京橋, 7, ＪＲ山手線,東京, 15
パークハビオ八丁堀,東京都中央区八丁堀３,16,4,19.9,10000,1LDK,45.56,19.9,19.9,https://img01.suumo.com/front/gazo/fr/bukken/349/100346376349/100346376349_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085784165/?bc=100355935120,東京メトロ日比谷線,八丁堀, 3, 東京メトロ銀座線,京橋, 7, ＪＲ山手線,東京, 15
パークハビオ八丁堀,東京都中央区八丁堀３,16,13,48.6,14000,3LDK,86.83,48.6,48.6,https://img01.suumo.com/front/gazo/fr/bukken/349/100346376349/100346376349_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085376804/?bc=100346376349,東京メトロ日比谷線,八丁堀, 3, 東京メトロ銀座線,京橋, 7, ＪＲ山手線,東京, 15
オデオン,東京都墨田区墨田３,6,2,10.6,4000,1LDK,41.41,5.3,15.9,https://img01.suumo.com/front/gazo/fr/bukken/603/100350557603/100350557603_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085963048/?bc=100350557603,東武伊勢崎線,鐘ヶ淵, 2, 京成押上線,八広, 14, 東武伊勢崎線,東向島, 10
レア代々木,東京都渋谷区代々木３,4,3,15.8,10000,1LDK,33.13,0,0,https://img01.suumo.com/front/gazo/fr/bukken/552/100353515552/100353515552_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000064647562/?bc=100353515552,小田急線,参宮橋, 4, ＪＲ山手線,代々木, 9, 京王新線,初台, 10
フォーチュンフィールド文京湯島,東京都文京区湯島２,44,2,24.5,20000,2LDK,68.26,24.5,0,https://img01.suumo.com/front/gazo/fr/bukken/829/100351890829/100351890829_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086680101/?bc=100351890829,東京メトロ千代田線,湯島, 4, 東京メトロ丸ノ内線,本郷三丁目, 6, ＪＲ山手線,御徒町, 10
デ・リード日本橋箱崎,東京都中央区日本橋箱崎町,26,1,12,15000,1LDK,39.77,0,0,https://img01.suumo.com/front/gazo/fr/bukken/861/100355933861/100355933861_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000075168588/?bc=100355933861,東京メトロ半蔵門線,水天宮前, 3, 東京メトロ日比谷線,人形町, 10, 東京メトロ東西線,茅場町, 11
ウィン第2五反田ビル,東京都品川区大崎４,31,1,15,0,2K,42.61,15,15,https://img01.suumo.com/front/gazo/fr/bukken/874/100350270874/100350270874_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000047327682/?bc=100350270874,ＪＲ山手線,五反田, 6, 東急池上線,大崎広小路, 1, ＪＲ山手線,大崎, 7
東京メトロ半蔵門線 押上駅 11階建 築37年,東京都墨田区向島３,37,3,15.4,10000,1LDK,43.74,15.4,15.4,https://img01.suumo.com/front/gazo/fr/bukken/260/100352718260/100352718260_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086292698/?bc=100352718260,東京メトロ半蔵門線,押上, 9, 都営浅草線,本所吾妻橋, 9, 東武伊勢崎線,とうきょうスカイツリー, 6
グラディート汐留ロッソ,東京都港区東新橋２,18,12,28.5,0,1SLDK,72.28,57,0,https://img01.suumo.com/front/gazo/fr/bukken/128/100351553128/100351553128_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086111255/?bc=100351553128,都営大江戸線,汐留, 5, 東京メトロ銀座線,新橋, 8, ＪＲ山手線,浜松町, 9
グラディート汐留ロッソ,東京都港区東新橋２,18,12,30.5,0,1SLDK,76.82,61,0,https://img01.suumo.com/front/gazo/fr/bukken/128/100351553128/100351553128_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000030576844/?bc=100352136420,都営大江戸線,汐留, 5, 東京メトロ銀座線,新橋, 8, ＪＲ山手線,浜松町, 9
グラディート汐留ロッソ,東京都港区東新橋２,18,12,47.5,0,1SLDK,90.04,95,0,https://img01.suumo.com/front/gazo/fr/bukken/128/100351553128/100351553128_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086650927/?bc=100354986035,都営大江戸線,汐留, 5, 東京メトロ銀座線,新橋, 8, ＪＲ山手線,浜松町, 9
エステムプラザ愛宕虎ノ門レジデンス,東京都港区西新橋２,12,2,11.58,16250,1DK,25.57,11.58,23.16,https://img01.suumo.com/front/gazo/fr/bukken/720/100354457720/100354457720_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086503848/?bc=100354457720,都営三田線,内幸町, 7, 東京メトロ銀座線,虎ノ門, 7, ＪＲ山手線,新橋, 9
都営大江戸線 蔵前駅 9階建 築20年,東京都墨田区本所２,20,5,8.5,6000,1K,27.2,8.5,8.5,https://img01.suumo.com/front/gazo/fr/bukken/587/100355594587/100355594587_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086476311/?bc=100355594587,都営大江戸線,蔵前, 9, 都営浅草線,浅草, 10, 都営大江戸線,両国, 10
パークタワー芝浦ベイワード アーバンウイング,東京都港区芝浦２,19,10,23,8000,1LDK,52.71,23,23,https://img01.suumo.com/front/gazo/fr/bukken/623/100346203623/100346203623_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085240840/?bc=100353303254,ＪＲ山手線,田町, 8, 新交通ゆりかもめ,芝浦ふ頭, 7, 都営三田線,三田, 9
パークタワー芝浦ベイワード アーバンウイング,東京都港区芝浦２,19,7,23.6,8000,1LDK,52.71,23.6,23.6,https://img01.suumo.com/front/gazo/fr/bukken/623/100346203623/100346203623_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000083851719/?bc=100352947676,ＪＲ山手線,田町, 8, 新交通ゆりかもめ,芝浦ふ頭, 7, 都営三田線,三田, 9
パークタワー芝浦ベイワード アーバンウイング,東京都港区芝浦２,19,28,25.5,8000,1LDK,55.43,25.5,25.5,https://img01.suumo.com/front/gazo/fr/bukken/623/100346203623/100346203623_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085351774/?bc=100346203623,ＪＲ山手線,田町, 8, 新交通ゆりかもめ,芝浦ふ頭, 7, 都営三田線,三田, 9
パークタワー芝浦ベイワード アーバンウイング,東京都港区芝浦２,19,21,29.8,10000,2LDK,64.34,29.8,29.8,https://img01.suumo.com/front/gazo/fr/bukken/623/100346203623/100346203623_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085240841/?bc=100355306228,ＪＲ山手線,田町, 8, 新交通ゆりかもめ,芝浦ふ頭, 7, 都営三田線,三田, 9
パークタワー芝浦ベイワード アーバンウイング,東京都港区芝浦２,19,20,32,10000,2LDK,71.64,32,32,https://img01.suumo.com/front/gazo/fr/bukken/623/100346203623/100346203623_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086111220/?bc=100351550572,ＪＲ山手線,田町, 8, 新交通ゆりかもめ,芝浦ふ頭, 7, 都営三田線,三田, 9
パークタワー芝浦ベイワード アーバンウイング,東京都港区芝浦２,19,6,34,15000,2LDK,83.33,34,34,https://img01.suumo.com/front/gazo/fr/bukken/623/100346203623/100346203623_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086111221/?bc=100353467680,ＪＲ山手線,田町, 8, 新交通ゆりかもめ,芝浦ふ頭, 7, 都営三田線,三田, 9
両国サンハイツ,東京都墨田区両国４,46,11,14.9,6000,1LDK,44.24,14.9,7.45,https://img01.suumo.com/front/gazo/fr/bukken/058/100354265058/100354265058_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000055844367/?bc=100354265058,ＪＲ総武線,両国, 4, 都営新宿線,森下, 10, 都営大江戸線,両国, 4
うさみビル,東京都文京区本郷３,46,3,14.5,15000,1LDK,50,14.5,0,https://img01.suumo.com/front/gazo/fr/bukken/846/100298144846/100298144846_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086252961/?bc=100298144846,ＪＲ中央線,御茶ノ水, 5, 東京メトロ丸ノ内線,本郷三丁目, 5, ＪＲ中央線,水道橋, 10
京成押上線 京成曳舟駅 5階建 築50年,東京都墨田区京島１,50,3,8.8,5000,2K,30.08,8.8,8.8,画像なし,https://bridal.suumo.jp/chintai/jnc_000068359376/?bc=100356009631,京成押上線,京成曳舟, 5, 東武伊勢崎線,曳舟, 5, 東京メトロ半蔵門線,押上, 9
Ｔ’ｓ　ｇａｒｄｅｎ西小山,東京都目黒区目黒本町５,11,3,14,5000,1LDK,40.53,14,14,https://img01.suumo.com/front/gazo/fr/bukken/333/100352648333/100352648333_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086292858/?bc=100352648333,東急目黒線,西小山, 5, 東急大井町線,北千束, 23, 東急池上線,旗の台, 25
Ｔ’ｓ　ｇａｒｄｅｎ西小山,東京都目黒区目黒本町５,11,3,15.3,5000,2DK,40.12,15.3,15.3,https://img01.suumo.com/front/gazo/fr/bukken/333/100352648333/100352648333_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000068739591/?bc=100355931860,東急目黒線,西小山, 5, 東急大井町線,北千束, 23, 東急池上線,旗の台, 25
シンシティー両国弐番館,東京都墨田区立川１,17,2,7.6,5000,ワンルーム,20.87,0,0,https://img01.suumo.com/front/gazo/fr/bukken/896/100355765896/100355765896_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000065167088/?bc=100355765905,都営大江戸線,森下, 4, ＪＲ総武線,両国, 7, 都営新宿線,菊川, 10
シンシティー両国弐番館,東京都墨田区立川１,17,6,7.5,10000,ワンルーム,20.81,0,0,https://img01.suumo.com/front/gazo/fr/bukken/896/100355765896/100355765896_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000030995451/?bc=100355765896,都営大江戸線,森下, 4, ＪＲ総武線,両国, 7, 都営新宿線,菊川, 10
東京メトロ半蔵門線 錦糸町駅 15階建 築2年,東京都墨田区江東橋２,2,14,10.6,10000,2K,25.6,10.6,0,https://img01.suumo.com/front/gazo/fr/bukken/274/100355897274/100355897274_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086237787/?bc=100355897274,東京メトロ半蔵門線,錦糸町, 9, ＪＲ総武線,錦糸町, 9, 東京メトロ半蔵門線,住吉, 12
ポートサイドビル,東京都中央区湊１,52,3,7.3,4000,2K,28.38,7.3,7.3,https://img01.suumo.com/front/gazo/fr/bukken/112/100352346112/100352346112_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000078100920/?bc=100352346112,ＪＲ京葉線,八丁堀, 4, 東京メトロ有楽町線,新富町, 9, 東京メトロ東西線,茅場町, 10
ザ・パークハビオ代々木初台,東京都渋谷区初台２,3,11,27.6,15000,2LDK,49.91,27.6,27.6,https://img01.suumo.com/front/gazo/fr/bukken/671/100353346671/100353346671_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086370212/?bc=100353346671,京王新線,初台, 9, 小田急線,代々木八幡, 9, 東京メトロ千代田線,代々木公園, 10
OZIO西荻窪,東京都杉並区西荻南２,4,2,15.9,10000,1SK,41.82,15.9,15.9,https://img01.suumo.com/front/gazo/fr/bukken/351/100356301351/100356301351_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086840116/?bc=100356301351,ＪＲ中央線,西荻窪, 5, 京王井の頭線,三鷹台, 22, ＪＲ中央線,吉祥寺, 26
クレヴィスタ戸越公園,東京都品川区二葉３,4,3,8.1,15000,ワンルーム,20.12,0,0,https://img01.suumo.com/front/gazo/fr/bukken/664/100348505664/100348505664_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000073364489/?bc=100348505664,ＪＲ横須賀線,西大井, 6, 都営浅草線,中延, 8, 東急大井町線,戸越公園, 8
パレホームズ武蔵小山,東京都品川区平塚３,22,6,8.9,10000,1K,21.17,8.9,8.9,https://img01.suumo.com/front/gazo/fr/bukken/495/100335037495/100335037495_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000084875112/?bc=100335037495,東急池上線,荏原中延, 6, 東急池上線,戸越銀座, 6, 都営浅草線,戸越, 8
レジディア六本木檜町公園,東京都港区赤坂６,25,6,32.5,15000,1LDK,63.16,32.5,32.5,https://img01.suumo.com/front/gazo/fr/bukken/286/100350951286/100350951286_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086066777/?bc=100350951286,東京メトロ千代田線,赤坂, 6, 都営大江戸線,六本木, 7, 東京メトロ南北線,六本木一丁目, 10
レジディア六本木檜町公園,東京都港区赤坂６,25,3,39.5,15000,2LDK,73.43,39.5,39.5,https://img01.suumo.com/front/gazo/fr/bukken/286/100350951286/100350951286_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086173725/?bc=100352114042,東京メトロ千代田線,赤坂, 6, 都営大江戸線,六本木, 7, 東京メトロ南北線,六本木一丁目, 10
プリマベーラ代々木,東京都渋谷区代々木１,14,6,33.4,15000,2LDK,81.73,33.4,0,https://img01.suumo.com/front/gazo/fr/bukken/463/100354828463/100354828463_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086226221/?bc=100354828463,ＪＲ山手線,代々木, 4, 東京メトロ副都心線,北参道, 5, 小田急線,南新宿, 7
Ｂｒｉｌｌｉａ日本橋茅場町,東京都中央区日本橋茅場町３,15,10,20.2,0,1LDK,50.15,20.2,20.2,https://img01.suumo.com/front/gazo/fr/bukken/181/100355415181/100355415181_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000084050414/?bc=100355415181,東京メトロ日比谷線,八丁堀, 5, 東京メトロ東西線,茅場町, 5, 東京メトロ東西線,日本橋, 11
ブリリアタワー浜離宮,東京都港区海岸１,0,15,25,0,1LDK,40.08,25,25,https://img01.suumo.com/front/gazo/fr/bukken/503/100349848503/100349848503_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086086729/?bc=100355998322,ＪＲ山手線,浜松町, 5, 新交通ゆりかもめ,竹芝, 2, 都営浅草線,大門, 8
ブリリアタワー浜離宮,東京都港区海岸１,0,7,27,0,1LDK,45.94,27,27,https://img01.suumo.com/front/gazo/fr/bukken/503/100349848503/100349848503_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086320031/?bc=100352666540,ＪＲ山手線,浜松町, 5, 新交通ゆりかもめ,竹芝, 2, 都営浅草線,大門, 8
ブリリアタワー浜離宮,東京都港区海岸１,0,11,27.5,0,1LDK,43.84,27.5,27.5,https://img01.suumo.com/front/gazo/fr/bukken/503/100349848503/100349848503_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086379750/?bc=100355087685,ＪＲ山手線,浜松町, 5, 新交通ゆりかもめ,竹芝, 2, 都営浅草線,大門, 8
ブリリアタワー浜離宮,東京都港区海岸１,0,15,29,0,1LDK,43.81,29,29,https://img01.suumo.com/front/gazo/fr/bukken/503/100349848503/100349848503_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000084742206/?bc=100355257884,ＪＲ山手線,浜松町, 5, 新交通ゆりかもめ,竹芝, 2, 都営浅草線,大門, 8
ブリリアタワー浜離宮,東京都港区海岸１,0,18,38.3,15000,1LDK,62.43,38.3,38.3,https://img01.suumo.com/front/gazo/fr/bukken/503/100349848503/100349848503_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086347662/?bc=100349848503,ＪＲ山手線,浜松町, 5, 新交通ゆりかもめ,竹芝, 2, 都営浅草線,大門, 8
ＢＬＡＵ菊川,東京都墨田区菊川３,4,3,16.8,12000,1LDK,40.64,16.8,0,https://img01.suumo.com/front/gazo/fr/bukken/890/100356347890/100356195030_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086836112/?bc=100356347890,都営新宿線,菊川, 3, 東京メトロ半蔵門線,住吉, 9, 都営大江戸線,森下, 13
カスタリア東日本橋III,東京都中央区東日本橋３,21,11,8.2,15000,1K,21.55,0,0,https://img01.suumo.com/front/gazo/fr/bukken/965/100353731965/100353731965_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000069298785/?bc=100353731965,都営浅草線,東日本橋, 1, 東京メトロ日比谷線,小伝馬町, 6, 都営新宿線,馬喰横山, 1
ステージファースト神田,東京都千代田区岩本町２,24,6,8.7,6000,1K,25.39,8.7,8.7,https://img01.suumo.com/front/gazo/fr/bukken/039/100348044039/100348044039_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086405089/?bc=100353255390,都営新宿線,岩本町, 4, 東京メトロ日比谷線,小伝馬町, 4, ＪＲ山手線,秋葉原, 7
ステージファースト神田,東京都千代田区岩本町２,24,5,15.7,9000,1DK,38.77,15.7,0,https://img01.suumo.com/front/gazo/fr/bukken/039/100348044039/100348044039_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085670419/?bc=100348044039,都営新宿線,岩本町, 4, 東京メトロ日比谷線,小伝馬町, 4, ＪＲ山手線,秋葉原, 7
レジディア大手町北,東京都千代田区内神田１,5,13,17,10000,1DK,31.3,17,17,https://img01.suumo.com/front/gazo/fr/bukken/417/100353782417/100353782417_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085696811/?bc=100353782417,ＪＲ山手線,神田, 5, 東京メトロ丸ノ内線,大手町, 7, ＪＲ総武線快速,新日本橋, 12
レジディア大手町北,東京都千代田区内神田１,5,4,20.7,10000,1LDK,39.97,20.7,20.7,https://img01.suumo.com/front/gazo/fr/bukken/417/100353782417/100353782417_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086762776/?bc=100355817230,ＪＲ山手線,神田, 5, 東京メトロ丸ノ内線,大手町, 7, ＪＲ総武線快速,新日本橋, 12
レジディア大手町北,東京都千代田区内神田１,5,4,21.4,10000,1LDK,39.97,21.4,21.4,https://img01.suumo.com/front/gazo/fr/bukken/417/100353782417/100353782417_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086853451/?bc=100355662457,ＪＲ山手線,神田, 5, 東京メトロ丸ノ内線,大手町, 7, ＪＲ総武線快速,新日本橋, 12
ラピス新宿南,東京都渋谷区千駄ヶ谷５,8,4,16.6,8000,1LDK,35.42,16.6,16.6,https://img01.suumo.com/front/gazo/fr/bukken/275/100355309275/100355309275_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086516837/?bc=100355309275,東京メトロ丸ノ内線,新宿三丁目, 3, ＪＲ山手線,代々木, 5, ＪＲ山手線,新宿, 7
セレスティア,東京都千代田区神田多町２,2,8,63,20000,1LDK,67.37,63,63,https://img01.suumo.com/front/gazo/fr/bukken/171/100349745171/100349745171_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085902020/?bc=100349745171,都営新宿線,小川町, 2, 東京メトロ千代田線,新御茶ノ水, 4, ＪＲ山手線,神田, 5
グランドコーポ東日本橋,東京都中央区東日本橋３,22,7,12.8,9000,ワンルーム,40.62,12.8,0,https://img01.suumo.com/front/gazo/fr/bukken/081/100353152081/100353152081_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086398699/?bc=100353152081,都営浅草線,東日本橋, 3, 都営新宿線,馬喰横山, 3, 東京メトロ日比谷線,小伝馬町, 7
リージア経堂テラスガーデン,東京都世田谷区宮坂３,14,1,20.6,15000,1LDK,54.65,20.6,0,https://img01.suumo.com/front/gazo/fr/bukken/084/100346813084/100346813084_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000069049167/?bc=100352740912,小田急線,経堂, 5, 東急世田谷線,山下, 8, 小田急線,豪徳寺, 9
リージア経堂テラスガーデン,東京都世田谷区宮坂３,14,3,21.2,15000,1LDK,54.65,21.2,21.2,https://img01.suumo.com/front/gazo/fr/bukken/084/100346813084/100346813084_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085473576/?bc=100347859644,小田急線,経堂, 5, 東急世田谷線,山下, 8, 小田急線,豪徳寺, 9
リージア経堂テラスガーデン,東京都世田谷区宮坂３,14,5,21.2,15000,1LDK,54.65,21.2,21.2,https://img01.suumo.com/front/gazo/fr/bukken/084/100346813084/100346813084_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000083834372/?bc=100353051747,小田急線,経堂, 5, 東急世田谷線,山下, 8, 小田急線,豪徳寺, 9
リージア経堂テラスガーデン,東京都世田谷区宮坂３,14,5,21.2,15000,1LDK,47.15,21.2,21.2,https://img01.suumo.com/front/gazo/fr/bukken/084/100346813084/100346813084_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085390682/?bc=100346813084,小田急線,経堂, 5, 東急世田谷線,山下, 8, 小田急線,豪徳寺, 9
リージア経堂テラスガーデン,東京都世田谷区宮坂３,14,4,23.2,15000,2LDK,58.11,23.2,23.2,https://img01.suumo.com/front/gazo/fr/bukken/084/100346813084/100346813084_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086504277/?bc=100354229719,小田急線,経堂, 5, 東急世田谷線,山下, 8, 小田急線,豪徳寺, 9
リージア経堂テラスガーデン,東京都世田谷区宮坂３,14,5,23.2,15000,2LDK,58.11,23.2,23.2,https://img01.suumo.com/front/gazo/fr/bukken/084/100346813084/100346813084_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086504278/?bc=100354229716,小田急線,経堂, 5, 東急世田谷線,山下, 8, 小田急線,豪徳寺, 9
リージア経堂テラスガーデン,東京都世田谷区宮坂３,14,6,23.3,15000,2LDK,58.11,23.3,23.3,https://img01.suumo.com/front/gazo/fr/bukken/084/100346813084/100346813084_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086555875/?bc=100352740895,小田急線,経堂, 5, 東急世田谷線,山下, 8, 小田急線,豪徳寺, 9
ヴィアレット原宿,東京都渋谷区神宮前２,19,2,16.4,8000,2K,31.8,16.4,16.4,https://img01.suumo.com/front/gazo/fr/bukken/825/100354457825/100354457825_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086561842/?bc=100354457825,ＪＲ山手線,原宿, 10, 東京メトロ副都心線,明治神宮前, 9, 東京メトロ銀座線,外苑前, 15
ＪＲ山手線 新橋駅 地下1地上12階建 築18年,東京都港区東新橋２,18,12,30.5,0,1SLDK,76.82,61,0,https://img01.suumo.com/front/gazo/fr/bukken/001/100352509001/100352509001_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000030605322/?bc=100352509001,ＪＲ山手線,新橋, 7, 都営大江戸線,汐留, 5, ＪＲ山手線,浜松町, 9
ＪＲ山手線 新橋駅 地下1地上12階建 築18年,東京都港区東新橋２,18,12,47.5,0,1SLDK,90.04,95,0,https://img01.suumo.com/front/gazo/fr/bukken/001/100352509001/100352509001_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086655026/?bc=100355630774,ＪＲ山手線,新橋, 7, 都営大江戸線,汐留, 5, ＪＲ山手線,浜松町, 9
シェフルール西早稲田ラヴィーナ,東京都新宿区西早稲田３,9,4,12.9,10500,1LDK,31.81,12.9,12.9,https://img01.suumo.com/front/gazo/fr/bukken/266/100350649266/100350649266_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085911200/?bc=100353002953,東京メトロ東西線,高田馬場, 8, 東京メトロ副都心線,雑司が谷, 10, 都電荒川線,面影橋, 4
シェフルール西早稲田ラヴィーナ,東京都新宿区西早稲田３,9,3,14.7,10500,1LDK,32.83,14.7,14.7,https://img01.suumo.com/front/gazo/fr/bukken/266/100350649266/100350649266_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085940348/?bc=100350649954,東京メトロ東西線,高田馬場, 8, 東京メトロ副都心線,雑司が谷, 10, 都電荒川線,面影橋, 4
シェフルール西早稲田ラヴィーナ,東京都新宿区西早稲田３,9,13,31.3,0,3LDK,70.4,31.3,31.3,https://img01.suumo.com/front/gazo/fr/bukken/266/100350649266/100350649266_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085931214/?bc=100350649266,東京メトロ東西線,高田馬場, 8, 東京メトロ副都心線,雑司が谷, 10, 都電荒川線,面影橋, 4
エルファーロ大岡山II,東京都目黒区大岡山１,0,1,10.2,7000,1K,21,0,0,https://img01.suumo.com/front/gazo/fr/bukken/898/100338859898/100338859898_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000084134920/?bc=100338929006,東急目黒線,大岡山, 7, 東急大井町線,緑が丘, 14, 東急目黒線,洗足, 14
